,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
15744,,retired,married,tertiary,no,161.0,yes,no,cellular,21.0,jul,153.0,3.0,-1.0,,,no
15745,,blue-collar,,secondary,no,,yes,no,cellular,21.0,jul,81.0,1.0,-1.0,0.0,,no
15746,27.0,admin.,,secondary,no,436.0,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15747,43.0,admin.,,secondary,no,1625.0,yes,yes,cellular,21.0,jul,56.0,1.0,-1.0,0.0,,no
15748,42.0,unemployed,married,,no,,yes,no,telephone,21.0,jul,691.0,10.0,-1.0,,,yes
15749,,technician,single,tertiary,no,119.0,no,yes,cellular,21.0,jul,202.0,3.0,-1.0,0.0,,no
15750,,self-employed,single,tertiary,no,222.0,no,yes,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15751,35.0,blue-collar,married,secondary,no,,no,yes,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15752,26.0,management,,secondary,no,,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15753,42.0,technician,,secondary,no,1858.0,no,no,cellular,21.0,jul,61.0,1.0,-1.0,0.0,,no
15754,,blue-collar,,primary,no,177.0,yes,yes,telephone,21.0,jul,742.0,4.0,-1.0,0.0,,no
15755,,services,married,primary,no,486.0,no,yes,telephone,21.0,jul,1877.0,1.0,-1.0,0.0,,yes
15756,53.0,technician,,secondary,no,237.0,yes,no,telephone,21.0,jul,18.0,1.0,-1.0,0.0,,no
15757,45.0,blue-collar,single,primary,no,695.0,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15758,57.0,services,married,secondary,no,,no,no,cellular,21.0,jul,84.0,1.0,,0.0,,no
15759,53.0,management,,secondary,no,28.0,yes,no,cellular,21.0,jul,142.0,1.0,-1.0,0.0,,no
15760,35.0,management,married,tertiary,no,0.0,yes,no,cellular,21.0,jul,295.0,3.0,,0.0,,no
15761,51.0,management,married,tertiary,no,,yes,no,telephone,21.0,jul,,1.0,-1.0,0.0,,no
15762,31.0,blue-collar,married,secondary,no,799.0,yes,no,cellular,21.0,jul,181.0,1.0,,0.0,,no
15763,38.0,blue-collar,single,secondary,no,0.0,yes,no,cellular,21.0,jul,,8.0,-1.0,0.0,,no
15764,47.0,blue-collar,married,secondary,no,0.0,yes,no,cellular,21.0,jul,,1.0,,0.0,,no
15765,,housemaid,married,primary,no,,yes,no,telephone,21.0,jul,,1.0,-1.0,,,no
15766,26.0,blue-collar,,secondary,no,,yes,yes,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15767,,technician,,secondary,no,,yes,no,cellular,21.0,jul,,1.0,,0.0,,no
15768,28.0,unemployed,married,secondary,no,,no,yes,cellular,21.0,jul,299.0,1.0,-1.0,0.0,,no
15769,31.0,admin.,divorced,secondary,no,,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15770,,management,,tertiary,no,,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15771,,services,,secondary,no,,yes,yes,cellular,21.0,jul,,7.0,-1.0,0.0,,no
15772,,blue-collar,,primary,no,2591.0,yes,no,cellular,21.0,jul,,2.0,-1.0,,,no
15773,,housemaid,divorced,secondary,yes,,no,no,cellular,21.0,jul,,3.0,,0.0,,no
15774,,management,married,tertiary,no,2123.0,yes,no,cellular,21.0,jul,249.0,3.0,-1.0,0.0,,no
15775,56.0,retired,married,primary,no,,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15776,,blue-collar,divorced,primary,no,,yes,no,cellular,21.0,jul,407.0,11.0,,,,no
15777,26.0,housemaid,single,primary,yes,,yes,yes,cellular,21.0,jul,222.0,1.0,,0.0,,no
15778,,retired,,primary,no,4.0,no,no,cellular,21.0,jul,,5.0,-1.0,0.0,,no
15779,40.0,blue-collar,,secondary,no,,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15780,26.0,entrepreneur,,tertiary,no,,no,no,cellular,21.0,jul,262.0,3.0,-1.0,,,no
15781,31.0,blue-collar,,secondary,no,,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15782,33.0,student,married,secondary,no,0.0,no,no,cellular,21.0,jul,100.0,1.0,-1.0,,,no
15783,60.0,retired,divorced,primary,no,,no,yes,telephone,21.0,jul,,1.0,-1.0,0.0,,no
15784,57.0,management,,primary,no,687.0,yes,yes,telephone,21.0,jul,107.0,3.0,-1.0,0.0,,no
15785,34.0,entrepreneur,married,primary,no,,yes,no,cellular,21.0,jul,,3.0,-1.0,0.0,,no
15786,37.0,self-employed,,secondary,yes,0.0,no,yes,cellular,21.0,jul,320.0,1.0,-1.0,0.0,,no
15787,,services,married,secondary,no,,no,no,cellular,21.0,jul,71.0,9.0,-1.0,,,no
15788,38.0,technician,,secondary,no,,yes,yes,cellular,21.0,jul,91.0,9.0,,0.0,,no
15789,50.0,management,married,tertiary,no,,no,yes,cellular,21.0,jul,,2.0,-1.0,0.0,,no
15790,52.0,admin.,,secondary,no,799.0,no,no,cellular,21.0,jul,,2.0,,0.0,,no
15791,25.0,admin.,single,secondary,no,,no,yes,cellular,21.0,jul,392.0,1.0,-1.0,0.0,,no
15792,29.0,blue-collar,married,secondary,no,-49.0,yes,yes,cellular,21.0,jul,,1.0,-1.0,,,no
15793,,management,,secondary,no,,no,no,telephone,21.0,jul,,4.0,-1.0,0.0,,no
15794,,student,married,tertiary,no,10.0,yes,no,cellular,21.0,jul,,4.0,-1.0,0.0,,yes
15795,38.0,blue-collar,married,primary,no,,yes,no,cellular,21.0,jul,68.0,10.0,-1.0,0.0,,no
15796,49.0,technician,,tertiary,no,,no,yes,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15797,29.0,services,,secondary,no,,yes,no,cellular,21.0,jul,,1.0,-1.0,,,no
15798,51.0,admin.,,secondary,no,73.0,no,no,cellular,21.0,jul,195.0,1.0,-1.0,0.0,,no
15799,29.0,technician,,secondary,no,-910.0,yes,no,cellular,21.0,jul,260.0,1.0,-1.0,0.0,,no
15800,,management,married,tertiary,no,0.0,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15801,43.0,unemployed,married,secondary,no,3.0,no,no,cellular,21.0,jul,231.0,2.0,-1.0,0.0,,no
15802,,entrepreneur,,secondary,no,,no,yes,cellular,21.0,jul,,4.0,-1.0,0.0,,no
15803,25.0,management,married,tertiary,no,,yes,yes,cellular,21.0,jul,690.0,3.0,-1.0,0.0,,no
15804,54.0,management,,tertiary,no,3795.0,yes,yes,cellular,21.0,jul,381.0,1.0,-1.0,0.0,,no
15805,45.0,blue-collar,,primary,no,0.0,yes,no,cellular,21.0,jul,211.0,2.0,-1.0,,,no
15806,44.0,housemaid,married,primary,no,,yes,no,cellular,21.0,jul,319.0,1.0,-1.0,0.0,,no
15807,,management,,tertiary,no,1598.0,no,yes,cellular,21.0,jul,312.0,1.0,-1.0,0.0,,no
15808,28.0,admin.,single,secondary,no,,yes,no,cellular,21.0,jul,60.0,2.0,-1.0,0.0,,no
15809,,technician,,secondary,no,672.0,no,no,cellular,21.0,jul,,9.0,,0.0,,no
15810,31.0,admin.,married,secondary,no,0.0,yes,no,cellular,21.0,jul,366.0,3.0,-1.0,0.0,,no
15811,29.0,management,,tertiary,no,1035.0,yes,no,cellular,21.0,jul,862.0,2.0,-1.0,,,no
15812,,technician,,tertiary,no,2690.0,yes,no,cellular,21.0,jul,,5.0,,0.0,,no
15813,50.0,management,,tertiary,no,,yes,yes,cellular,21.0,jul,172.0,1.0,-1.0,0.0,,no
15814,42.0,technician,married,secondary,yes,55.0,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15815,,housemaid,married,primary,no,201.0,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15816,34.0,management,married,tertiary,no,272.0,yes,no,cellular,21.0,jul,237.0,2.0,-1.0,0.0,,no
15817,55.0,housemaid,,secondary,no,127.0,yes,no,telephone,21.0,jul,1130.0,8.0,-1.0,0.0,,yes
15818,,blue-collar,,primary,no,,yes,no,cellular,21.0,jul,,2.0,-1.0,0.0,,yes
15819,42.0,management,,tertiary,no,9.0,yes,no,cellular,21.0,jul,509.0,1.0,,0.0,,no
15820,,services,,secondary,no,,yes,no,cellular,21.0,jul,,6.0,-1.0,0.0,,no
15821,,management,married,tertiary,no,1889.0,no,no,cellular,21.0,jul,256.0,1.0,-1.0,0.0,,no
15822,47.0,management,,tertiary,no,2105.0,no,yes,cellular,21.0,jul,363.0,1.0,-1.0,0.0,,no
15823,,admin.,,secondary,no,664.0,no,no,cellular,21.0,jul,,2.0,-1.0,,,yes
15824,,services,,secondary,no,6567.0,yes,no,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15825,57.0,retired,,secondary,no,-609.0,no,yes,cellular,21.0,jul,168.0,1.0,-1.0,0.0,,no
15826,,technician,married,tertiary,no,,no,no,cellular,21.0,jul,306.0,1.0,,0.0,,no
15827,41.0,entrepreneur,married,secondary,no,187.0,no,yes,cellular,21.0,jul,,1.0,-1.0,0.0,,no
15828,30.0,management,,tertiary,no,,yes,no,cellular,21.0,jul,,3.0,-1.0,0.0,,no
15829,35.0,blue-collar,,tertiary,no,,yes,no,cellular,21.0,jul,262.0,4.0,-1.0,0.0,,no
15830,47.0,blue-collar,,primary,no,273.0,yes,no,cellular,21.0,jul,91.0,3.0,-1.0,0.0,,no
15831,35.0,services,divorced,secondary,no,828.0,yes,no,cellular,21.0,jul,87.0,1.0,-1.0,0.0,,no
15832,29.0,services,married,secondary,no,57.0,yes,no,telephone,21.0,jul,342.0,9.0,-1.0,0.0,,no
15833,51.0,retired,,secondary,no,-14.0,no,yes,cellular,21.0,jul,564.0,5.0,-1.0,,,no
15834,40.0,technician,,secondary,yes,96.0,no,yes,cellular,21.0,jul,181.0,2.0,-1.0,0.0,,no
15835,26.0,technician,single,secondary,no,-213.0,no,yes,cellular,21.0,jul,418.0,5.0,-1.0,,,no
15836,,management,married,tertiary,no,0.0,yes,no,cellular,21.0,jul,,3.0,-1.0,0.0,,no
15837,56.0,management,,primary,no,405.0,no,no,cellular,21.0,jul,,2.0,-1.0,,,no
15838,,technician,single,secondary,no,223.0,no,yes,cellular,21.0,jul,,3.0,-1.0,0.0,,yes
15839,27.0,management,,tertiary,no,1109.0,yes,no,cellular,21.0,jul,,5.0,-1.0,,,no
15840,,blue-collar,married,secondary,no,,no,no,cellular,21.0,jul,274.0,3.0,-1.0,0.0,,no
15841,30.0,blue-collar,married,secondary,no,62.0,no,no,cellular,21.0,jul,,3.0,-1.0,0.0,,no
15842,43.0,blue-collar,,primary,no,,no,yes,cellular,21.0,jul,564.0,2.0,-1.0,0.0,,no
15843,59.0,housemaid,,primary,no,,no,no,telephone,21.0,jul,,10.0,-1.0,0.0,,no
15844,33.0,blue-collar,,primary,no,0.0,no,no,cellular,21.0,jul,47.0,2.0,-1.0,0.0,,no
15845,48.0,technician,,secondary,no,101.0,yes,no,cellular,21.0,jul,338.0,3.0,-1.0,0.0,,no
15846,,admin.,single,secondary,no,,yes,no,cellular,21.0,jul,,3.0,-1.0,0.0,,no
15847,35.0,management,single,tertiary,no,,no,yes,cellular,21.0,jul,,11.0,-1.0,0.0,,yes
15848,26.0,admin.,married,secondary,no,233.0,yes,no,cellular,21.0,jul,236.0,3.0,-1.0,0.0,,no
15849,57.0,housemaid,married,primary,no,688.0,no,no,cellular,21.0,jul,67.0,2.0,-1.0,0.0,,no
15850,55.0,management,married,primary,no,57.0,no,yes,cellular,21.0,jul,162.0,2.0,-1.0,0.0,,no
15851,,blue-collar,,primary,no,544.0,no,yes,cellular,21.0,jul,121.0,4.0,-1.0,0.0,,no
15852,38.0,services,,secondary,no,-448.0,yes,no,cellular,21.0,jul,,15.0,-1.0,0.0,,no
15853,57.0,retired,,primary,no,177.0,no,yes,cellular,21.0,jul,91.0,4.0,,0.0,,no
15854,34.0,services,,secondary,no,5.0,yes,no,cellular,21.0,jul,59.0,4.0,-1.0,0.0,,no
15855,38.0,admin.,,secondary,yes,0.0,no,yes,cellular,21.0,jul,126.0,3.0,-1.0,0.0,,no
15856,,blue-collar,married,primary,no,0.0,yes,no,cellular,21.0,jul,,4.0,-1.0,,,no
15857,,blue-collar,divorced,,no,103.0,yes,no,cellular,21.0,jul,769.0,3.0,-1.0,0.0,,no
15858,,services,single,secondary,no,,no,no,cellular,21.0,jul,,3.0,-1.0,0.0,,yes
15859,41.0,services,married,secondary,no,6687.0,yes,no,cellular,21.0,jul,,3.0,-1.0,0.0,,no
15860,41.0,management,,tertiary,no,,no,no,cellular,21.0,jul,1134.0,5.0,-1.0,,,yes
15861,29.0,management,,tertiary,no,872.0,yes,no,cellular,21.0,jul,173.0,2.0,-1.0,0.0,,no
15862,54.0,services,married,secondary,no,,no,yes,cellular,21.0,jul,86.0,4.0,-1.0,0.0,,no
15863,29.0,technician,married,secondary,no,,yes,no,cellular,21.0,jul,130.0,4.0,,0.0,,no
15864,,management,,tertiary,no,3926.0,yes,no,cellular,21.0,jul,208.0,2.0,-1.0,0.0,,no
15865,,services,married,secondary,no,-406.0,yes,yes,cellular,21.0,jul,276.0,2.0,,0.0,,no
15866,58.0,retired,single,primary,no,6570.0,no,no,cellular,21.0,jul,,3.0,-1.0,0.0,,no
15867,,blue-collar,married,secondary,yes,,yes,yes,cellular,21.0,jul,251.0,3.0,-1.0,,,no
15868,49.0,technician,,secondary,no,-403.0,no,yes,cellular,21.0,jul,482.0,2.0,-1.0,0.0,,no
15869,,admin.,single,tertiary,no,45789.0,no,no,telephone,21.0,jul,21.0,31.0,-1.0,0.0,,no
15870,34.0,management,married,secondary,no,1007.0,yes,no,cellular,21.0,jul,240.0,2.0,-1.0,0.0,,no
15871,29.0,blue-collar,married,secondary,no,358.0,no,no,cellular,21.0,jul,88.0,5.0,-1.0,0.0,,no
15872,36.0,admin.,married,tertiary,no,289.0,no,no,cellular,21.0,jul,,4.0,-1.0,0.0,,no
15873,36.0,blue-collar,married,secondary,no,,yes,yes,cellular,21.0,jul,167.0,2.0,-1.0,0.0,,no
15874,38.0,admin.,married,primary,no,-175.0,yes,no,telephone,21.0,jul,86.0,9.0,-1.0,0.0,,no
15875,,technician,married,secondary,no,-18.0,yes,no,telephone,21.0,jul,,2.0,-1.0,0.0,,no
15876,45.0,management,,tertiary,no,54.0,no,yes,cellular,21.0,jul,,3.0,-1.0,0.0,,no
15877,44.0,admin.,,secondary,no,26.0,yes,no,cellular,21.0,jul,,10.0,,,,no
15878,33.0,management,married,tertiary,no,1.0,yes,yes,cellular,21.0,jul,551.0,8.0,-1.0,0.0,,no
15879,,blue-collar,,secondary,no,,yes,yes,cellular,21.0,jul,,3.0,,0.0,,no
15880,33.0,technician,,secondary,no,-160.0,yes,no,cellular,21.0,jul,,5.0,-1.0,0.0,,no
15881,36.0,technician,,secondary,no,,yes,no,cellular,21.0,jul,,5.0,-1.0,0.0,,no
15882,,technician,married,secondary,no,,yes,no,telephone,21.0,jul,,3.0,-1.0,0.0,,no
15883,32.0,technician,,tertiary,no,-1053.0,yes,no,cellular,21.0,jul,,3.0,-1.0,0.0,,no
15884,47.0,management,married,tertiary,no,393.0,yes,yes,cellular,21.0,jul,419.0,2.0,-1.0,,,no
15885,31.0,housemaid,married,secondary,no,3902.0,yes,no,cellular,21.0,jul,,4.0,,0.0,,no
15886,25.0,services,single,secondary,no,,no,yes,cellular,21.0,jul,24.0,28.0,,,,no
15887,33.0,admin.,,secondary,no,585.0,yes,no,cellular,21.0,jul,,5.0,-1.0,0.0,,no
15888,,housemaid,,tertiary,no,1437.0,yes,no,telephone,21.0,jul,100.0,11.0,-1.0,0.0,,no
15889,43.0,technician,,secondary,no,307.0,no,no,cellular,21.0,jul,,2.0,-1.0,0.0,,no
15890,38.0,technician,,tertiary,no,378.0,yes,no,telephone,21.0,jul,184.0,21.0,-1.0,0.0,,no
15891,,services,married,secondary,yes,-433.0,yes,no,cellular,21.0,jul,111.0,2.0,-1.0,0.0,,no
15892,,blue-collar,married,secondary,no,-249.0,yes,yes,cellular,21.0,jul,189.0,3.0,-1.0,0.0,,no
15893,35.0,entrepreneur,,secondary,no,10.0,yes,no,cellular,21.0,jul,314.0,7.0,-1.0,0.0,,no
15894,,blue-collar,,primary,no,0.0,yes,no,cellular,21.0,jul,322.0,2.0,-1.0,0.0,,no
15895,50.0,blue-collar,,primary,no,421.0,yes,no,cellular,21.0,jul,,4.0,-1.0,0.0,,no
15896,42.0,services,divorced,secondary,no,1043.0,yes,no,cellular,21.0,jul,97.0,3.0,-1.0,0.0,,no
15897,,admin.,,secondary,no,907.0,yes,no,telephone,21.0,jul,722.0,3.0,-1.0,0.0,,no
15898,51.0,services,single,secondary,no,,no,no,telephone,22.0,jul,,4.0,-1.0,0.0,,no
15899,47.0,blue-collar,married,primary,no,,no,yes,cellular,22.0,jul,166.0,2.0,-1.0,0.0,,no
15900,33.0,services,,secondary,no,,yes,no,telephone,22.0,jul,,8.0,,0.0,,no
15901,55.0,technician,,primary,no,284.0,no,no,cellular,22.0,jul,70.0,9.0,-1.0,0.0,,no
15902,30.0,blue-collar,,primary,no,1.0,yes,yes,telephone,22.0,jul,80.0,2.0,-1.0,0.0,,no
15903,,admin.,,secondary,no,5169.0,no,no,cellular,22.0,jul,72.0,14.0,-1.0,0.0,,no
15904,32.0,admin.,single,secondary,no,,yes,no,cellular,22.0,jul,,3.0,-1.0,0.0,,no
15905,38.0,technician,married,tertiary,no,45.0,no,no,cellular,22.0,jul,125.0,4.0,-1.0,0.0,,no
15906,44.0,management,married,primary,no,,yes,no,cellular,22.0,jul,,6.0,,0.0,,yes
15907,44.0,blue-collar,,primary,no,6393.0,no,no,cellular,22.0,jul,156.0,20.0,-1.0,0.0,,no
15908,50.0,management,married,tertiary,no,4315.0,yes,no,cellular,22.0,jul,,11.0,-1.0,0.0,,no
15909,58.0,unemployed,married,tertiary,no,0.0,no,yes,cellular,22.0,jul,,3.0,-1.0,,,no
15910,33.0,management,,tertiary,no,-149.0,yes,no,cellular,22.0,jul,,3.0,-1.0,0.0,,no
15911,,admin.,married,secondary,no,874.0,yes,no,cellular,22.0,jul,93.0,2.0,-1.0,0.0,,no
15912,,services,married,secondary,no,145.0,no,yes,cellular,22.0,jul,152.0,2.0,-1.0,,,no
15913,40.0,services,,secondary,no,,yes,no,cellular,22.0,jul,,3.0,-1.0,0.0,,no
15914,55.0,management,,tertiary,no,36.0,no,yes,cellular,22.0,jul,46.0,3.0,-1.0,,,no
15915,27.0,blue-collar,single,secondary,no,28.0,no,no,telephone,22.0,jul,68.0,3.0,-1.0,0.0,,no
15916,,housemaid,divorced,secondary,no,,yes,no,cellular,22.0,jul,,3.0,-1.0,0.0,,no
15917,36.0,admin.,,secondary,no,,no,yes,cellular,22.0,jul,204.0,3.0,-1.0,0.0,,no
15918,31.0,admin.,single,secondary,no,,yes,no,cellular,22.0,jul,,7.0,,0.0,,no
15919,40.0,technician,,tertiary,no,2611.0,yes,no,cellular,22.0,jul,637.0,2.0,-1.0,0.0,,no
15920,54.0,entrepreneur,,tertiary,no,651.0,yes,yes,cellular,22.0,jul,121.0,2.0,-1.0,0.0,,no
15921,38.0,blue-collar,,secondary,no,,yes,no,cellular,22.0,jul,238.0,2.0,-1.0,0.0,,no
15922,,technician,married,secondary,no,561.0,yes,no,cellular,22.0,jul,95.0,1.0,-1.0,0.0,,no
15923,60.0,housemaid,,primary,no,1412.0,no,no,cellular,22.0,jul,127.0,4.0,-1.0,0.0,,no
15924,43.0,management,,tertiary,no,,yes,yes,cellular,22.0,jul,420.0,3.0,,,,no
15925,56.0,retired,,primary,no,161.0,no,yes,cellular,22.0,jul,121.0,2.0,,0.0,,no
15926,32.0,management,,tertiary,no,578.0,no,yes,cellular,22.0,jul,,2.0,-1.0,0.0,,no
15927,45.0,technician,,secondary,no,-847.0,no,yes,cellular,22.0,jul,312.0,1.0,-1.0,0.0,,no
15928,38.0,blue-collar,married,,no,0.0,no,no,cellular,22.0,jul,233.0,1.0,-1.0,0.0,,no
15929,27.0,blue-collar,,primary,no,,no,yes,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15930,,admin.,married,secondary,no,,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15931,29.0,blue-collar,,secondary,no,,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15932,,admin.,married,secondary,no,290.0,yes,no,cellular,22.0,jul,,2.0,-1.0,0.0,,yes
15933,,housemaid,married,primary,no,4279.0,yes,no,cellular,22.0,jul,98.0,1.0,-1.0,0.0,,no
15934,60.0,retired,single,secondary,no,-330.0,no,yes,cellular,22.0,jul,69.0,6.0,-1.0,0.0,,no
15935,,blue-collar,,secondary,no,420.0,yes,no,cellular,22.0,jul,58.0,1.0,-1.0,0.0,,no
15936,,retired,,secondary,no,-252.0,no,no,cellular,22.0,jul,438.0,3.0,-1.0,0.0,,no
15937,30.0,admin.,married,secondary,no,,yes,yes,cellular,22.0,jul,,1.0,,0.0,,no
15938,,management,,tertiary,no,1703.0,yes,no,cellular,22.0,jul,153.0,5.0,-1.0,0.0,,no
15939,,admin.,,tertiary,no,0.0,yes,yes,cellular,22.0,jul,139.0,3.0,-1.0,0.0,,no
15940,25.0,blue-collar,,secondary,no,,yes,no,cellular,22.0,jul,135.0,1.0,-1.0,0.0,,no
15941,36.0,admin.,,secondary,no,22.0,yes,no,cellular,22.0,jul,,5.0,-1.0,0.0,,no
15942,,admin.,,secondary,no,1715.0,no,no,cellular,22.0,jul,211.0,8.0,-1.0,0.0,,no
15943,51.0,technician,,secondary,yes,-113.0,no,yes,cellular,22.0,jul,314.0,4.0,-1.0,0.0,,no
15944,,entrepreneur,,tertiary,no,38.0,yes,no,cellular,22.0,jul,278.0,5.0,-1.0,,,no
15945,,technician,married,secondary,no,1.0,no,no,cellular,22.0,jul,344.0,3.0,,0.0,,no
15946,,management,married,tertiary,no,1.0,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15947,33.0,management,single,tertiary,no,,yes,no,cellular,22.0,jul,1077.0,1.0,,0.0,,yes
15948,,management,,tertiary,no,,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15949,37.0,technician,single,secondary,no,-59.0,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15950,42.0,housemaid,divorced,secondary,no,1406.0,yes,no,cellular,22.0,jul,178.0,1.0,,0.0,,no
15951,,blue-collar,,secondary,no,942.0,no,no,telephone,22.0,jul,425.0,2.0,-1.0,0.0,,no
15952,,services,,secondary,no,44.0,yes,yes,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15953,,entrepreneur,,tertiary,no,,yes,no,cellular,22.0,jul,80.0,1.0,-1.0,0.0,,no
15954,,technician,divorced,secondary,no,-263.0,yes,no,cellular,22.0,jul,307.0,1.0,-1.0,0.0,,no
15955,,admin.,married,secondary,no,512.0,yes,no,cellular,22.0,jul,259.0,1.0,-1.0,0.0,,no
15956,26.0,services,single,secondary,no,47.0,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15957,33.0,technician,single,tertiary,no,,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15958,29.0,technician,,secondary,no,,yes,yes,cellular,22.0,jul,422.0,8.0,-1.0,0.0,,no
15959,37.0,admin.,,secondary,no,0.0,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15960,40.0,services,,secondary,no,,no,no,cellular,22.0,jul,255.0,1.0,-1.0,0.0,,no
15961,29.0,blue-collar,married,secondary,no,210.0,no,yes,cellular,22.0,jul,518.0,1.0,-1.0,0.0,,no
15962,43.0,technician,married,tertiary,no,788.0,no,yes,cellular,22.0,jul,,3.0,,0.0,,no
15963,34.0,management,,tertiary,no,27.0,no,yes,cellular,22.0,jul,,1.0,,0.0,,no
15964,,housemaid,,secondary,no,399.0,yes,no,cellular,22.0,jul,139.0,1.0,-1.0,0.0,,no
15965,27.0,services,divorced,secondary,no,,yes,no,cellular,22.0,jul,527.0,1.0,,0.0,,no
15966,,management,divorced,tertiary,no,81.0,no,yes,cellular,22.0,jul,,1.0,-1.0,0.0,,yes
15967,,services,,secondary,no,-378.0,yes,yes,cellular,22.0,jul,,6.0,-1.0,0.0,,no
15968,,management,married,tertiary,no,85.0,yes,no,cellular,22.0,jul,,2.0,-1.0,0.0,,no
15969,34.0,management,,tertiary,no,0.0,no,no,cellular,22.0,jul,,2.0,-1.0,,,no
15970,28.0,technician,,secondary,no,,no,yes,cellular,22.0,jul,188.0,2.0,-1.0,0.0,,no
15971,32.0,technician,,tertiary,no,259.0,no,no,cellular,22.0,jul,,4.0,-1.0,0.0,,no
15972,43.0,admin.,married,secondary,no,,yes,yes,cellular,22.0,jul,254.0,1.0,,0.0,,no
15973,42.0,entrepreneur,,secondary,no,2239.0,yes,no,cellular,22.0,jul,176.0,1.0,-1.0,0.0,,no
15974,37.0,management,married,tertiary,no,,no,no,cellular,22.0,jul,89.0,1.0,,0.0,,no
15975,,management,married,tertiary,no,109.0,yes,no,cellular,22.0,jul,,1.0,,0.0,,no
15976,52.0,self-employed,married,secondary,no,0.0,yes,no,cellular,22.0,jul,,1.0,,0.0,,no
15977,,technician,,secondary,no,,no,no,cellular,22.0,jul,367.0,1.0,-1.0,,,no
15978,,retired,divorced,primary,no,-137.0,yes,no,cellular,22.0,jul,,1.0,-1.0,,,no
15979,33.0,admin.,single,secondary,no,241.0,no,no,cellular,22.0,jul,,1.0,-1.0,,,no
15980,38.0,technician,married,secondary,no,0.0,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,yes
15981,37.0,entrepreneur,,tertiary,no,2089.0,yes,no,cellular,22.0,jul,,1.0,,0.0,,no
15982,42.0,management,,tertiary,no,1336.0,yes,yes,cellular,22.0,jul,65.0,1.0,-1.0,0.0,,no
15983,,management,,tertiary,no,,no,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15984,,housemaid,,secondary,no,1103.0,no,no,cellular,22.0,jul,274.0,6.0,-1.0,0.0,,no
15985,,blue-collar,,primary,no,0.0,yes,yes,cellular,22.0,jul,118.0,1.0,-1.0,,,no
15986,47.0,technician,,secondary,no,,no,yes,cellular,22.0,jul,,1.0,,0.0,,no
15987,32.0,technician,married,tertiary,no,0.0,yes,no,cellular,22.0,jul,,1.0,,,,no
15988,35.0,management,,tertiary,yes,8.0,yes,no,cellular,22.0,jul,,3.0,-1.0,0.0,,no
15989,47.0,housemaid,,tertiary,no,,yes,no,cellular,22.0,jul,89.0,1.0,-1.0,0.0,,no
15990,27.0,admin.,,secondary,no,,yes,no,cellular,22.0,jul,273.0,4.0,-1.0,0.0,,no
15991,,blue-collar,,primary,no,-235.0,yes,no,cellular,22.0,jul,189.0,1.0,,,,no
15992,37.0,services,married,secondary,no,145.0,yes,no,telephone,22.0,jul,74.0,13.0,-1.0,,,no
15993,,management,,tertiary,no,,yes,no,cellular,22.0,jul,485.0,1.0,-1.0,0.0,,no
15994,,blue-collar,married,secondary,no,,yes,yes,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15995,29.0,blue-collar,,secondary,no,,no,no,cellular,22.0,jul,115.0,1.0,-1.0,,,no
15996,51.0,admin.,,secondary,no,194.0,no,yes,cellular,22.0,jul,71.0,2.0,-1.0,0.0,,no
15997,48.0,admin.,,secondary,no,-379.0,yes,no,cellular,22.0,jul,,2.0,-1.0,0.0,,no
15998,,services,single,secondary,no,418.0,yes,no,cellular,22.0,jul,,1.0,-1.0,0.0,,no
15999,51.0,self-employed,married,primary,no,0.0,yes,no,telephone,22.0,jul,215.0,1.0,-1.0,0.0,,no
16000,30.0,entrepreneur,,secondary,no,,yes,yes,cellular,22.0,jul,88.0,1.0,-1.0,0.0,,no
