regiao,tipo_imovel,area_m2,quartos,vagas_garagem,idade_imovel_anos,distancia_centro_km,preco_reais,faixa_preco
Sul,Casa,175.4,2.0,1,7.0,2.34,688479.0,Alto
Norte,Apartamento,142.6,4.0,0,25.0,4.39,466441.0,Médio
Oeste,Apartamento,143.8,3.0,0,12.0,11.06,441613.0,Médio
Oeste,Apartamento,154.1,4.0,0,38.0,6.61,502266.0,Médio
,Casa,150.4,4.0,0,36.0,5.42,433064.0,Médio
Sul,Sobrado,131.2,4.0,2,27.0,4.43,520625.0,Médio
Sul,Sobrado,124.2,4.0,1,24.0,9.01,461780.0,Médio
Oeste,Apartamento,117.5,3.0,1,15.0,8.57,416050.0,Médio
Sul,Casa,89.8,2.0,0,1.0,1.76,384093.0,Médio
Oeste,Apartamento,108.8,3.0,1,17.0,6.38,351686.0,Médio
Oeste,Apartamento,52.3,2.0,1,16.0,8.06,140974.0,Econômico
Sul,Sobrado,,3.0,2,29.0,8.45,,
Oeste,Apartamento,80.5,3.0,1,38.0,2.36,257223.0,Econômico
Oeste,Apartamento,75.9,3.0,0,12.0,13.56,207123.0,Econômico
Norte,Apartamento,127.2,2.0,1,31.0,0.5,391069.0,Médio
Oeste,Apartamento,175.7,2.0,1,28.0,4.38,600891.0,Alto
Leste,Apartamento,156.7,,1,29.0,15.15,,
Oeste,Casa,57.2,2.0,3,17.0,8.3,212875.0,Econômico
Sul,Casa,80.4,4.0,2,12.0,3.03,435717.0,Médio
Oeste,Sobrado,157.6,2.0,1,20.0,11.87,473870.0,Médio
Sul,Sobrado,80.7,2.0,1,29.0,8.38,245519.0,Econômico
Norte,Apartamento,111.0,1.0,1,20.0,15.91,289682.0,Econômico
Oeste,Apartamento,142.0,3.0,1,16.0,13.28,450028.0,Médio
Norte,Apartamento,81.3,3.0,2,39.0,9.42,207973.0,Econômico
Sul,Casa,124.2,2.0,2,18.0,6.7,469641.0,Médio
Oeste,Apartamento,66.6,1.0,0,14.0,1.43,207894.0,Econômico
Oeste,Casa,95.9,3.0,1,8.0,3.03,401634.0,Médio
Leste,Casa,132.8,2.0,1,9.0,5.43,485653.0,Médio
Leste,Casa,56.3,3.0,2,30.0,9.15,193498.0,Econômico
Sul,Casa,137.6,3.0,2,22.0,7.21,508295.0,Médio
Sul,Apartamento,119.2,2.0,1,29.0,3.4,419231.0,Médio
Sul,Sobrado,142.1,2.0,0,32.0,0.5,454067.0,Médio
Leste,Sobrado,129.0,5.0,2,8.0,6.86,499878.0,Médio
Oeste,Apartamento,174.6,3.0,0,0.0,3.36,658296.0,Alto
Oeste,Sobrado,125.0,3.0,1,34.0,13.27,378543.0,Médio
Oeste,Casa,102.8,2.0,0,10.0,0.5,362953.0,Médio
Norte,Sobrado,124.9,3.0,2,33.0,8.79,381723.0,Médio
Sul,Sobrado,141.7,1.0,1,15.0,28.38,395370.0,Médio
Norte,Casa,122.0,3.0,1,8.0,1.92,440353.0,Médio
Leste,Apartamento,121.6,5.0,2,31.0,6.38,462101.0,Médio
Sul,Apartamento,91.9,2.0,1,14.0,0.96,356610.0,Médio
Oeste,Casa,93.5,1.0,1,11.0,9.83,297054.0,Econômico
Sul,Casa,63.9,1.0,1,,8.0,,
Norte,Apartamento,190.0,2.0,0,13.0,5.23,604480.0,Alto
Norte,Apartamento,70.2,2.0,2,7.0,7.37,249031.0,Econômico
Oeste,Sobrado,92.3,1.0,0,7.0,22.69,266841.0,Econômico
Leste,,91.3,4.0,1,26.0,2.19,334410.0,Médio
Norte,Casa,155.8,3.0,1,11.0,0.5,563656.0,Médio
Norte,Apartamento,108.2,2.0,2,0.0,19.78,,
Leste,Apartamento,169.9,4.0,2,39.0,8.61,577276.0,Médio
Norte,Apartamento,93.1,2.0,1,10.0,22.13,224253.0,Econômico
Oeste,Sobrado,131.2,5.0,0,38.0,9.09,416522.0,Médio
Leste,Apartamento,86.6,2.0,2,30.0,16.62,209579.0,Econômico
Norte,Casa,205.8,4.0,1,16.0,5.62,714371.0,Alto
Norte,Apartamento,72.5,3.0,2,32.0,13.86,204693.0,Econômico
,Casa,132.4,4.0,2,31.0,24.42,388231.0,Médio
Sul,Casa,145.4,5.0,2,28.0,8.49,594523.0,Médio
Sul,Sobrado,136.6,2.0,1,20.0,1.99,523221.0,Médio
Oeste,Apartamento,112.6,5.0,1,20.0,3.13,448404.0,Médio
Oeste,Apartamento,114.8,2.0,2,39.0,2.21,388338.0,Médio
,Apartamento,121.8,2.0,1,22.0,2.84,398940.0,Médio
Oeste,Sobrado,114.1,2.0,0,5.0,3.66,407496.0,Médio
Sul,Sobrado,158.6,3.0,2,21.0,8.1,587610.0,Médio
Norte,Casa,208.4,2.0,2,37.0,8.87,638480.0,Alto
Oeste,Casa,97.7,3.0,1,36.0,5.56,310938.0,Médio
Leste,Casa,65.2,3.0,0,7.0,9.56,217392.0,Econômico
Sul,Apartamento,116.5,4.0,1,34.0,0.85,441601.0,Médio
Oeste,Sobrado,223.2,4.0,2,10.0,0.92,,
Norte,Casa,87.9,3.0,3,23.0,1.89,338499.0,Médio
Sul,Apartamento,185.6,2.0,1,20.0,7.3,658883.0,Alto
Norte,Casa,187.1,2.0,0,1.0,2.41,610087.0,Alto
Sul,Apartamento,97.9,2.0,2,39.0,3.33,364946.0,Médio
Norte,Apartamento,142.8,1.0,1,,5.11,,
Norte,Casa,185.1,2.0,1,38.0,16.71,510708.0,Médio
Norte,Apartamento,104.8,2.0,3,27.0,0.5,363160.0,Médio
Leste,Casa,111.9,5.0,0,16.0,10.48,341947.0,Médio
Oeste,Apartamento,96.7,3.0,2,5.0,11.05,350535.0,Médio
Leste,Apartamento,79.4,2.0,0,18.0,16.03,185685.0,Econômico
Oeste,Apartamento,94.0,3.0,1,37.0,26.99,197805.0,Econômico
Sul,Apartamento,71.0,2.0,2,27.0,0.5,298184.0,Econômico
Sul,Casa,121.4,3.0,1,1.0,1.67,562996.0,Médio
Oeste,Apartamento,89.2,3.0,3,37.0,21.73,196318.0,Econômico
Norte,Casa,129.4,3.0,1,36.0,6.13,411281.0,Médio
Oeste,Casa,57.8,3.0,1,3.0,8.31,215115.0,Econômico
Norte,Casa,133.2,5.0,1,21.0,10.88,452127.0,Médio
Oeste,Sobrado,153.3,4.0,1,25.0,11.37,511464.0,Médio
Norte,Casa,40.3,3.0,1,35.0,26.84,80000.0,Econômico
Oeste,Apartamento,135.0,3.0,0,12.0,50.0,235621.0,Econômico
Leste,Apartamento,169.1,3.0,1,31.0,12.74,509225.0,Médio
,Apartamento,71.6,2.0,1,16.0,3.39,280131.0,Econômico
Norte,Casa,186.9,2.0,2,,21.18,,
Leste,Apartamento,136.8,1.0,2,18.0,0.5,499570.0,Médio
Oeste,Casa,91.8,3.0,2,34.0,2.63,349855.0,Médio
Leste,Casa,117.8,3.0,0,39.0,22.77,244714.0,Econômico
Leste,Apartamento,142.3,2.0,1,27.0,2.96,491277.0,Médio
Leste,Sobrado,123.0,5.0,2,0.0,2.49,521378.0,Médio
Sul,Apartamento,141.6,4.0,1,17.0,1.49,581350.0,Médio
Leste,Apartamento,83.2,3.0,0,39.0,19.6,161562.0,Econômico
Leste,Casa,126.8,3.0,2,32.0,6.93,400043.0,Médio
Oeste,Casa,63.5,4.0,2,11.0,11.24,228323.0,Econômico
Norte,Casa,115.6,2.0,1,7.0,2.73,423789.0,Médio
Sul,Casa,83.8,4.0,0,23.0,14.19,304228.0,Médio
Oeste,Apartamento,90.6,2.0,2,15.0,14.27,284416.0,Econômico
Oeste,Sobrado,169.4,4.0,1,3.0,3.75,653174.0,Alto
Sul,Sobrado,163.7,2.0,2,37.0,5.29,,
Leste,Casa,144.4,4.0,2,26.0,2.35,568644.0,Médio
Sul,Apartamento,76.3,4.0,2,8.0,37.53,209401.0,Econômico
Norte,Casa,107.3,2.0,1,15.0,10.37,318473.0,Médio
Sul,Apartamento,168.5,3.0,0,11.0,27.26,549436.0,Médio
Sul,Apartamento,125.7,5.0,2,30.0,3.62,511217.0,Médio
Leste,Sobrado,212.8,3.0,2,23.0,15.23,738744.0,Alto
Norte,Apartamento,135.7,4.0,2,13.0,14.52,415864.0,Médio
Oeste,Sobrado,127.7,3.0,0,24.0,11.77,417653.0,Médio
,Casa,107.6,2.0,0,33.0,33.71,164729.0,Econômico
